TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionDate_dt,amount_log,amount_to_balance,is_online,is_high_login,hour,dayofweek,month,is_weekend,is_night,new_device_for_account,new_ip_for_account,new_merchant_for_account,new_location_for_account,tx_count_rolling_1d,amount_sum_daily,acc_tx_count,acc_amount_sum,acc_amount_mean,acc_amount_median,acc_amount_max,acc_amount_std,acc_amount_p95,acc_amount_p99,acc_balance_mean,acc_balance_min,acc_ratio_mean,acc_ratio_p95,acc_unique_merchants,acc_unique_locations,acc_unique_devices,acc_unique_ips,acc_channel_nunique,acc_login_attempts_max,acc_login_attempts_mean,acc_duration_mean,acc_duration_p95,acc_active_days,acc_share_atm,acc_share_branch,acc_share_online,merch_tx_count,merch_amount_mean,merch_amount_median,merch_amount_max,merch_amount_p95,merch_unique_accounts,merch_unique_devices,merch_unique_ips,merch_channel_nunique,merch_share_atm,merch_share_branch,merch_share_online,chan_tx_count,chan_amount_mean,chan_amount_median,chan_amount_p95,chan_login_attempts_mean,chan_login_attempts_max,chan_duration_mean,chan_duration_p95,chan_unique_accounts,chan_unique_merchants
TX001313,AC00001,47.79,2023-09-15 17:00:20,Debit,Denver,D000649,59.12.96.11,M034,Branch,25,Student,37,1,1649.92,2024-11-04 08:11:55,2023-09-15 17:00:20,3.8875253738277458,0.02896504072922992,0,0,17,4,9,0,0,1,1,1,1,1,47.79,2,260.76,130.38,130.38,212.97,116.79989811639392,204.711,211.3182,2915.16,1649.92,0.0399549631930463,0.0498458934104811,2,2,2,2,2,1,1.0,107.5,170.95,60,0.0,0.5,0.5,21,360.0852380952381,299.09,1228.81,757.79,21,21,21,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,868,288.22926267281105,204.16,852.1234999999998,1.1221198156682028,5,116.67511520737328,263.29999999999995,400,100
TX002017,AC00001,212.97,2023-11-14 16:56:34,Debit,Atlanta,D000492,45.241.13.208,M003,Online,59,Engineer,178,1,4180.4,2024-11-04 08:10:42,2023-11-14 16:56:34,5.3658358182788595,0.050944885656862754,1,0,16,1,11,0,0,1,1,1,1,1,212.97,2,260.76,130.38,130.38,212.97,116.79989811639392,204.711,211.3182,2915.16,1649.92,0.0399549631930463,0.0498458934104811,2,2,2,2,2,1,1.0,107.5,170.95,60,0.0,0.5,0.5,26,214.01692307692304,182.405,870.3,571.1075,26,25,25,3,0.4230769230769231,0.2692307692307692,0.3076923076923077,811,297.2147225647349,206.63,889.625,1.128236744759556,5,120.30579531442665,272.5,399,100
TX002121,AC00002,476.99,2023-01-10 16:00:32,Debit,San Diego,D000594,113.137.153.101,M022,Online,23,Student,187,1,1154.48,2024-11-04 08:10:10,2023-01-10 16:00:32,6.1695898117705275,0.4131643683732822,1,0,16,1,1,0,0,1,1,1,1,1,476.99,7,2056.21,293.7442857142857,331.66,516.47,195.69509079663897,504.626,514.1012000000001,4480.421428571429,1154.48,0.1434813856735727,0.407938334951915,6,7,7,7,3,2,1.1428571428571428,109.85714285714286,215.0,346,0.2857142857142857,0.4285714285714285,0.2857142857142857,17,207.22117647058823,100.68,561.58,557.148,17,17,17,3,0.3529411764705882,0.1764705882352941,0.4705882352941176,811,297.2147225647349,206.63,889.625,1.128236744759556,5,120.30579531442665,272.5,399,100
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,2023-02-28 16:36:58,4.099663723699701,0.01031492516810262,0,0,16,1,2,0,0,1,1,1,1,1,59.32,7,2056.21,293.7442857142857,331.66,516.47,195.69509079663897,504.626,514.1012000000001,4480.421428571429,1154.48,0.1434813856735727,0.407938334951915,6,7,7,7,3,2,1.1428571428571428,109.85714285714286,215.0,346,0.2857142857142857,0.4285714285714285,0.2857142857142857,26,291.16,280.61,981.76,768.6425,25,26,26,3,0.3461538461538461,0.3076923076923077,0.3461538461538461,868,288.22926267281105,204.16,852.1234999999998,1.1221198156682028,5,116.67511520737328,263.29999999999995,400,100
TX001477,AC00002,12.62,2023-05-05 16:35:44,Debit,El Paso,D000475,93.160.83.196,M068,Branch,33,Doctor,61,1,6420.47,2024-11-04 08:09:03,2023-05-05 16:35:44,2.611539300721366,0.0019655881890263535,0,0,16,4,5,0,0,1,1,1,1,1,12.62,7,2056.21,293.7442857142857,331.66,516.47,195.69509079663897,504.626,514.1012000000001,4480.421428571429,1154.48,0.1434813856735727,0.407938334951915,6,7,7,7,3,2,1.1428571428571428,109.85714285714286,215.0,346,0.2857142857142857,0.4285714285714285,0.2857142857142857,32,302.5021875,269.905,1192.95,694.2139999999999,31,30,32,3,0.28125,0.28125,0.4375,868,288.22926267281105,204.16,852.1234999999998,1.1221198156682028,5,116.67511520737328,263.29999999999995,400,100
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,2024-11-04 08:11:03,2023-05-16 16:07:30,5.5796920894251505,0.063230834822333,0,0,16,1,5,0,0,1,1,1,1,1,263.99,7,2056.21,293.7442857142857,331.66,516.47,195.69509079663897,504.626,514.1012000000001,4480.421428571429,1154.48,0.1434813856735727,0.407938334951915,6,7,7,7,3,2,1.1428571428571428,109.85714285714286,215.0,346,0.2857142857142857,0.4285714285714285,0.2857142857142857,25,227.9764,120.62,1020.73,828.913999999999,24,25,25,3,0.32,0.4,0.28,868,288.22926267281105,204.16,852.1234999999998,1.1221198156682028,5,116.67511520737328,263.29999999999995,400,100
TX001599,AC00002,395.16,2023-07-24 16:14:05,Debit,Milwaukee,D000269,165.38.56.205,M059,Online,56,Retired,17,1,5340.73,2024-11-04 08:11:15,2023-07-24 16:14:05,5.981818170056177,0.07398988527784142,1,0,16,0,7,0,0,1,1,1,1,1,395.16,7,2056.21,293.7442857142857,331.66,516.47,195.69509079663897,504.626,514.1012000000001,4480.421428571429,1154.48,0.1434813856735727,0.407938334951915,6,7,7,7,3,2,1.1428571428571428,109.85714285714286,215.0,346,0.2857142857142857,0.4285714285714285,0.2857142857142857,27,256.05111111111114,194.29,792.57,681.7719999999999,27,27,26,3,0.4074074074074074,0.4074074074074074,0.1851851851851851,811,297.2147225647349,206.63,889.625,1.128236744759556,5,120.30579531442665,272.5,399,100
TX001674,AC00002,331.66,2023-09-11 17:52:59,Debit,Las Vegas,D000041,1.198.76.182,M040,ATM,76,Retired,145,1,7216.3,2024-11-04 08:08:23,2023-09-11 17:52:59,5.807120947362389,0.04595984091569835,0,0,17,0,9,0,0,1,1,0,1,1,331.66,7,2056.21,293.7442857142857,331.66,516.47,195.69509079663897,504.626,514.1012000000001,4480.421428571429,1154.48,0.1434813856735727,0.407938334951915,6,7,7,7,3,2,1.1428571428571428,109.85714285714286,215.0,346,0.2857142857142857,0.4285714285714285,0.2857142857142857,26,291.16,280.61,981.76,768.6425,25,26,26,3,0.3461538461538461,0.3076923076923077,0.3461538461538461,833,307.7208043217287,218.96,898.3219999999992,1.1236494597839135,5,122.09123649459784,263.0,403,100
TX001029,AC00002,516.47,2023-12-21 17:00:50,Credit,Charlotte,D000420,59.132.247.252,M026,ATM,25,Student,94,1,1305.06,2024-11-04 08:09:51,2023-12-21 17:00:50,6.248951552444647,0.39574425696872506,0,0,17,3,12,0,0,1,1,1,1,1,516.47,7,2056.21,293.7442857142857,331.66,516.47,195.69509079663897,504.626,514.1012000000001,4480.421428571429,1154.48,0.1434813856735727,0.407938334951915,6,7,7,7,3,2,1.1428571428571428,109.85714285714286,215.0,346,0.2857142857142857,0.4285714285714285,0.2857142857142857,45,308.1144444444444,185.99,1294.81,904.188,44,42,45,3,0.2,0.3333333333333333,0.4666666666666667,833,307.7208043217287,218.96,898.3219999999992,1.1236494597839135,5,122.09123649459784,263.0,403,100
TX002326,AC00003,20.17,2023-01-02 16:45:05,Debit,San Antonio,D000287,221.23.158.87,M088,ATM,77,Retired,86,1,3869.37,2024-11-04 08:08:39,2023-01-02 16:45:05,3.0525850851467737,0.005212734889657693,0,0,16,0,1,0,0,1,1,1,1,1,20.17,5,1266.34,253.26800000000003,237.97,416.62,158.48475327298834,410.118,415.3196,7329.567999999999,1688.9,0.0474508122139676,0.1079958194711151,5,5,5,5,2,1,1.0,49.2,82.6,274,0.8,0.0,0.2,30,300.0543333333334,220.49,1454.52,696.812499999999,29,30,29,3,0.4333333333333333,0.3666666666666666,0.2,833,307.7208043217287,218.96,898.3219999999992,1.1236494597839135,5,122.09123649459784,263.0,403,100
